Hotel_ID,Hotel_Name
1_1,Khách sạn Mường Thanh Luxury Nha Trang (Muong Thanh Luxury Nha Trang Hotel)
1_2,ALPHA BIRD NHA TRANG
1_3,Khách sạn Aaron (Aaron Hotel)
1_4,Panorama Star Beach Nha Trang
1_5,Khách sạn Balcony Nha Trang (Balcony Nha Trang Hotel)
1_6,Căn hộ Kymodo Panorama (Kymodo Panorama Apartment)
1_7,Khách sạn Mega Light (Mega Light Hotel)
1_8,Navada Beach Hotel
1_9,Khách Sạn Anrizon Nha Trang (Anrizon Hotel Nha Trang)
1_10,Olwen Hotel
1_11,RIS Panorama Nha Trang
1_12,Khách sạn AZURA (Azura Hotel)
1_13,Senkotel Nha Trang do NEST Group quản lý (Senkotel Nha Trang Managed by NEST Group)
1_14,Khu nghỉ dưỡng bãi biển Meliá Vinpearl Cam Ranh (Meliá Vinpearl Cam Ranh Beach Resort)
1_15,Khách Sạn Erica Nha Trang (Erica Nha Trang Hotel)
1_16,The Summer Hotel
1_17,Panorama Nha Trang Ocean View
1_18,Pavillon Boutique Hotel & Apartment Nha Trang
1_19,Royal HPM Hotel
1_20,Golden Lotus Central Hotel
1_21,Libra Nha Trang Hotel
1_22,Khách Sạn Apollo Nha Trang (Apollo Hotel Nha Trang)
1_23,Holi Panorama Nha Trang
1_24,Khu nghỉ dưỡng Alma Cam Ranh (Alma Resort Cam Ranh)
1_25,Khách sạn Marilyn Boutique Nha Trang (Marilyn Boutique Hotel Nha Trang)
1_26,khách sạn phố ngọc
1_27,Khách Sạn Smile (Smile Hotel)
1_28,Khách Sạn Regalia Gold (Regalia Gold Hotel)
1_29,Khách sạn Paris Nha Trang (Paris Nha Trang Hotel and Apartment)
1_30,Areca Hotel Nha Trang
2_1,Khách sạn New Sun Nha Trang (New Sun Hotel Nha Trang)
2_2,Muong Thanh Grand Nha Trang Hotel
2_3,ELITE HOTEL NHA TRANG
2_4,Khu nghỉ dưỡng Amiana Nha Trang (Amiana Resort Nha Trang)
2_5,Khách sạn Boutique Seasing (Seasing Boutique Hotel)
2_6,Golden Nha Trang Hotel
2_7,The Swan Hotel
2_8,Dubai Nha Trang Hotel
2_9,Panorama Nha trang & Breakfast
2_10,Oceanus Oasis Retreat Muong Thanh Vien Trieu
2_11,Maris Hotel Nha Trang
2_12,Căn hộ bãi biển Pearl Nha Trang (Pearl Nha Trang Beach Apartment)
2_13,Panorama Nha Trang by HLG
2_14,Khách sạn Imperial Nha trang (Imperial Nha Trang Hotel)
2_15,Khu nghỉ dưỡng Duyên Hà - Cam Ranh (Duyen Ha Resort Cam Ranh)
2_16,Meliá Vinpearl Nha Trang Empire
2_17,Nha Trang Horizon Hotel
2_18,TK Nha Trang Hotel
2_19,Royal Hotel Nha Trang
2_20,Khách sạn V Nha Trang (V Hotel Nha Trang)
2_21,Khách sạn BlueSea 10
2_22,TRUONG THINH HOTEL
2_23,The Anam Cam Ranh
2_24,DB Hotel Nha Trang
2_25,Khách sạn Ale Nha Trang (Ale Nha Trang Hotel)
2_26,Khách Sạn Starcity Nha Trang (StarCity Nha Trang Hotel)
2_27,"Căn hộ 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Partial sea view 2 Bedroom, Oceanus Hon Chong)"
2_28,Khách sạn Prague Nha Trang (Prague Nha Trang Hotel)
2_29,Khách sạn & Spa Boton Blue (Boton Blue Hotel & Spa)
2_30,Khách sạn Art Nest Nha Trang (Art Nest Hotel Nha Trang)
3_1,TUI BLUE Nha Trang
3_2,Full House Hotel
3_3,Khu Nghỉ Dưỡng Movenpick Cam Ranh (Movenpick Resort Cam Ranh)
3_4,Handy Panorama Nha Trang Ocean View
3_5,TTC Van Phong Bay Resort
3_6,Khách sạn Thái Bình (Khach san Thai Binh)
3_7,Annova Nha Trang Hotel
3_8,OYO 898 Khách sạn Phương Thảo (OYO 898 Phuong Thao Hotel)
3_9,Khu nghỉ dưỡng và Spa Pax Ana Dốc Lết (Pax Ana Doc Let Resort and Spa)
3_10,Khách sạn Dendro Gold (Dendro Gold Hotel )
3_11,Green Beach Nha Trang
3_12,The Time Nha Trang Hotel
3_13,Vinpearl Resort & Spa Nha Trang Bay
3_14,Starlight Nha Trang
3_15,A Páo Cafe & Homestay
3_16,ibis Styles Nha Trang
3_17,Khách sạn Skylight Nha Trang (Skylight Nha Trang Hotel)
3_18,Khách sạn Bonjour Nha Trang (Bonjour Nha Trang Hotel)
3_19,Khách sạn Super OYO 598 Peony (Super OYO 598 Peony Hotel)
3_20,Khách sạn Blue Pearl (Blue Pearl Hotel)
3_21,OYO 942 Căn Hộ Cường Hải (OYO 942 Cuong Hai Apartment)
3_22,Shoho Hotel Nha Trang
3_23,Fusion Resort Cam Ranh – All Spa Inclusive (Fusion Resort Cam Ranh - All Spa Inclusive)
3_24,Oasis Nha Trang Hotel
3_25,Khách Sạn Ventana Nha Trang (Ventana Nha Trang Hotel)
3_26,Aaron Boutique Hotel
3_27,GM Doc Let Beach Resort and Spa
3_28,The Costa Nha Trang (The Costa Nha Trang Residences)
3_29,Khách sạn Nagar Nha Trang (Nagar Hotel Nha Trang)
3_30,Grand Tourane Nha Trang Hotel
4_1,Khu nghỉ dưỡng Khách sạn & Spa Champa Island Nha Trang (Champa Island Nha Trang - Resort Hotel & Spa)
4_2,The Sea Luxury Nha Trang Apartment
4_3,Gonsala Hotel Nha Trang
4_4,Seaview Cam Ranh
4_5,Heritage Boutique Sierra Legend
4_6,Khách sạn Alibaba (Alibaba Hotel)
4_7,Khách sạn & Căn hộ Hà Trang (Ha Trang Voronezh Hotel and Apartment)
4_8,Khách Sạn Boutique Em Ơi (Em Oi Boutique Hotel)
5_1,Nomad Apartment
5_2,TOP Panorama Nha Trang
5_3,Ana Mandara Cam Ranh
5_4,Lotus Village Nha Trang
5_6,Khách sạn và Spa Florida Nha Trang (Florida Nha Trang Hotel And Spa)
5_7,Khách Sạn Hướng Biển Aqua (Aqua Seaview Hotel)
5_8,Muong Thanh Vien Trieu Hotel & Apartment Nha Trang
5_9,Panorama Nha Trang By Risco
5_10,Green World Hotel Nha Trang
5_11,Ocean Waves Resort Cam Ranh
5_12,Odessa Hotel
5_13,Virgo Hotel
5_14,Realus Sea-view Apartment in Cam Ranh Nha Trang
5_15,The Anchor Apartment
5_16,Khách sạn MCR Luxury Nha Trang (The MCR Luxury Nha Trang Hotel)
5_17,Khách Sạn Cliff Nha Trang (Cliff Hotel Nha Trang)
5_18,Khách san Luxury Nha Trang (Luxury Nha Trang Hotel)
5_19,Uy Duong Hotel & Apartment - Nha Trang
5_20,"Nhà riêng 82 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Family 3 Bedroom, Partial Sea View)"
5_21,"Chung cư 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Beauty and The Beach Condominium Comfortzone)"
5_22,BN Hotel Nha Trang
5_23,KHÁCH SẠN SEAESTA NHA TRANG (SEAESTA NHA TRANG HOTEL)
5_24,Khu Nghỉ Dưỡng Swandor Cam Ranh-Trọn Gói (Swandor Cam Ranh Resort-Ultra All Inclusive)
5_25,Arena Cam Ranh Resort by Realus
5_26,THE ARENA RESORT CAM RANH
5_27,KHÁCH SẠN APOLLO VACATION (HOTEL APOLLO VACATION)
5_28,"Căn hộ 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (Budget Apartment 3 Bedroom)"
5_29,"Nhà mặt đất 80 m² 3 phòng ngủ, 3 phòng tắm riêng ở Tân Lập (S house homestay 2)"
5_30,Holi Anna Boutique Hotel
6_2,"Nhà riêng 120 m² 1 phòng ngủ, 3 phòng tắm riêng ở Lộc Thọ (Ben's Home)"
6_5,The Empyrean Cam Ranh Beach Resort
6_6,Hien Luong Hotel Nha Trang
6_7,Hải Phát Hotel
6_8,Khu nghỉ dưỡng Arena Cam Ranh gần Sân bay (Arena Cam Ranh Resort near Airport)
6_11,Mia Resort Nha Trang
6_12,"Panorama Nha Trang (Panorama Nha Trang - 2 Nguyen Thi Minh Khai, Nha Trang)"
6_13,Sep'on Heartfulness Centre
6_14,CAM RANH NHA TRANG SEAVIEW RESORT
6_15,Căn hộ dịch vụ hướng biển ở Cam Ranh - Nha Trang (JOY Sea-View Serviced Apartment in Cam Ranh - Nha Trang)
6_16,RESORT THE ARENA CAM RANH - Deluxe SEAVIEW
6_17,Boma Resort Nha Trang
6_18,Homie Panorama Nha Trang
6_22,"Nhà riêng 60 m² 6 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hiệp (HO KINH DOANH NGUYEN THI BICH VY )"
6_27,Vinpearl Beachfront Nha Trang
7_7,Khu nghỉ dưỡng Alibu Nha Trang (Alibu Resort Nha Trang)
8_17,December Hotel
8_27,Vinpearl Luxury Nha Trang
9_7,Vinpearl Resort Nha Trang
9_24,Khu nghỉ dưỡng Selectum Noa Cam Ranh (Selectum Noa Resort Cam Ranh)
10_2,InterContinental Nha Trang
10_12,Sata Hotel
10_22,Khách sạn Sunrise Nha Trang Beach Hotel & Spa (Sunrise Nha Trang Beach Hotel & Spa)
11_30,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)"
12_2,The Empyrean Nha Trang
12_5,Khách sạn Nice Swan (Nice Swan Hotel Nha Trang)
12_7,Gran Meliá Nha Trang
12_8,The Moon Villas (The Trang Villas)
12_12,Lumina Villas Cam Ranh
12_15,"Căn hộ 774 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Two Bedroom Apartment with Sea View)"
12_16,Seascape Villas in Long Beach Cam Ranh
12_17,The Signature Hotel Nha Trang
12_22,Khách Sạn Mojzo (Mojzo Inn)
12_26,"Biệt thự 25 m² 1 phòng ngủ, 0 phòng tắm riêng ở Brooklyn (ZK Homestay )"
12_29,"Nhà riêng 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (Lovely 2-bedroom apartment in city center .)"
12_30,Aura Panorama Nha Trang
13_3,Oasis Retreat - Muong Thanh Vien Trieu
13_8,DTX Hotel Nha Trang
13_10,L’Alya Vịnh Ninh Vân (L'Alya Ninh Van Bay)
13_12,"Căn hộ 58 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Hải (CHAMPA ISLAND NHA TRANG CAN HO 2 PHONG NGU 2WC)"
13_13,Ocean view of Cam Ranh Resort
